segment_id,segment_name,lifecycle_stage,primary_theme,secondary_theme,theme_rationale
0,High Risk Inactives,trial,unpredictability,epic_meaning,Re-engage high risk inactives with curiosity and purpose
0,High Risk Inactives,paid,ownership,accomplishment,Encourage high risk inactives to invest in their progress
0,High Risk Inactives,churned,loss_avoidance,scarcity,High risk inactives need to fear losing progress to re-engage
0,High Risk Inactives,inactive,unpredictability,epic_meaning,Re-engage high risk inactives with curiosity and purpose
1,Social Gamifiers,trial,social_influence,accomplishment,Social gamifiers respond to competition and achievement
1,Social Gamifiers,paid,social_influence,ownership,Social gamifiers are motivated by social proof and possession
1,Social Gamifiers,churned,loss_avoidance,social_influence,Social gamifiers fear losing social status and progress
1,Social Gamifiers,inactive,unpredictability,social_influence,Re-engage social gamifiers with curiosity and social proof
2,Casual Solo Users,trial,accomplishment,empowerment,Casual solo users need achievement milestones and creativity
2,Casual Solo Users,paid,ownership,accomplishment,Casual solo users are motivated by possession and progress
2,Casual Solo Users,churned,loss_avoidance,accomplishment,Casual solo users fear losing progress and achievements
2,Casual Solo Users,inactive,unpredictability,empowerment,Re-engage casual solo users with curiosity and creativity
3,Engaged Free Triers,trial,accomplishment,empowerment,Engaged free triers need achievement milestones and creativity
3,Engaged Free Triers,paid,ownership,accomplishment,Engaged free triers are motivated by possession and progress
3,Engaged Free Triers,churned,loss_avoidance,accomplishment,Engaged free triers fear losing progress and achievements
3,Engaged Free Triers,inactive,unpredictability,epic_meaning,Re-engage engaged free triers with curiosity and purpose
4,Social Power Users,trial,social_influence,accomplishment,Social power users respond to competition and achievement
4,Social Power Users,paid,social_influence,ownership,Social power users are motivated by social proof and possession
4,Social Power Users,churned,loss_avoidance,social_influence,Social power users fear losing social status and progress
4,Social Power Users,inactive,unpredictability,social_influence,Re-engage social power users with curiosity and social proof
5,Low Engagement Users,trial,unpredictability,empowerment,Low engagement users need curiosity and creativity
5,Low Engagement Users,paid,accomplishment,ownership,Low engagement users are motivated by progress and possession
5,Low Engagement Users,churned,loss_avoidance,accomplishment,Low engagement users fear losing progress and achievements
5,Low Engagement Users,inactive,unpredictability,epic_meaning,Re-engage low engagement users with curiosity and purpose
