segment_id,segment_name,lifecycle_stage,lifecycle_day,primary_goal,sub_goals,success_metric,priority
0,Ecommerce Needs Attention,trial,D0,activation,"onboarding_complete,first_exercise",primary_action_completed >= 1,critical
0,Ecommerce Needs Attention,trial,D1,habit_formation,"daily_exercise,streak_building",engagement_streak >= 2,high
0,Ecommerce Needs Attention,trial,D2,habit_formation,"daily_exercise,streak_building",engagement_streak >= 3,high
0,Ecommerce Needs Attention,trial,D3,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
0,Ecommerce Needs Attention,trial,D4,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
0,Ecommerce Needs Attention,trial,D5,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
0,Ecommerce Needs Attention,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
0,Ecommerce Needs Attention,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
0,Ecommerce Needs Attention,paid,D8-D14,retention,"continued_engagement,habit_maintenance",primary_action_completed >= 1,critical
0,Ecommerce Needs Attention,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
0,Ecommerce Needs Attention,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
0,Ecommerce Needs Attention,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
0,Ecommerce Needs Attention,inactive,any,activation,"first_engagement,value_discovery",primary_action_completed >= 1,medium
1,Ecommerce Needs Attention,trial,D0,activation,"onboarding_complete,first_exercise",primary_action_completed >= 1,critical
1,Ecommerce Needs Attention,trial,D1,habit_formation,"daily_exercise,streak_building",engagement_streak >= 2,high
1,Ecommerce Needs Attention,trial,D2,habit_formation,"daily_exercise,streak_building",engagement_streak >= 3,high
1,Ecommerce Needs Attention,trial,D3,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
1,Ecommerce Needs Attention,trial,D4,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
1,Ecommerce Needs Attention,trial,D5,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
1,Ecommerce Needs Attention,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
1,Ecommerce Needs Attention,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
1,Ecommerce Needs Attention,paid,D8-D14,retention,"continued_engagement,habit_maintenance",primary_action_completed >= 1,critical
1,Ecommerce Needs Attention,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
1,Ecommerce Needs Attention,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
1,Ecommerce Needs Attention,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
1,Ecommerce Needs Attention,inactive,any,activation,"first_engagement,value_discovery",primary_action_completed >= 1,medium
2,Ecommerce Social Engagers,trial,D0,activation,"onboarding_complete,first_exercise",primary_action_completed >= 1,critical
2,Ecommerce Social Engagers,trial,D1,habit_formation,"daily_exercise,streak_building",engagement_streak >= 2,high
2,Ecommerce Social Engagers,trial,D2,habit_formation,"daily_exercise,streak_building",engagement_streak >= 3,high
2,Ecommerce Social Engagers,trial,D3,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
2,Ecommerce Social Engagers,trial,D4,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
2,Ecommerce Social Engagers,trial,D5,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
2,Ecommerce Social Engagers,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
2,Ecommerce Social Engagers,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
2,Ecommerce Social Engagers,paid,D8-D14,retention,"continued_engagement,habit_maintenance",primary_action_completed >= 1,critical
2,Ecommerce Social Engagers,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
2,Ecommerce Social Engagers,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
2,Ecommerce Social Engagers,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
2,Ecommerce Social Engagers,inactive,any,activation,"first_engagement,value_discovery",primary_action_completed >= 1,medium
3,Ecommerce At-Risk Users,trial,D0,activation,"onboarding_complete,first_exercise",primary_action_completed >= 1,critical
3,Ecommerce At-Risk Users,trial,D1,habit_formation,"daily_exercise,streak_building",engagement_streak >= 2,high
3,Ecommerce At-Risk Users,trial,D2,habit_formation,"daily_exercise,streak_building",engagement_streak >= 3,high
3,Ecommerce At-Risk Users,trial,D3,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
3,Ecommerce At-Risk Users,trial,D4,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
3,Ecommerce At-Risk Users,trial,D5,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
3,Ecommerce At-Risk Users,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
3,Ecommerce At-Risk Users,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
3,Ecommerce At-Risk Users,paid,D8-D14,retention,"continued_engagement,habit_maintenance",primary_action_completed >= 1,critical
3,Ecommerce At-Risk Users,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
3,Ecommerce At-Risk Users,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
3,Ecommerce At-Risk Users,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
3,Ecommerce At-Risk Users,inactive,any,activation,"first_engagement,value_discovery",primary_action_completed >= 1,medium
4,Ecommerce Social Engagers,trial,D0,activation,"onboarding_complete,first_exercise",primary_action_completed >= 1,critical
4,Ecommerce Social Engagers,trial,D1,habit_formation,"daily_exercise,streak_building",engagement_streak >= 2,high
4,Ecommerce Social Engagers,trial,D2,habit_formation,"daily_exercise,streak_building",engagement_streak >= 3,high
4,Ecommerce Social Engagers,trial,D3,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
4,Ecommerce Social Engagers,trial,D4,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
4,Ecommerce Social Engagers,trial,D5,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
4,Ecommerce Social Engagers,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
4,Ecommerce Social Engagers,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
4,Ecommerce Social Engagers,paid,D8-D14,retention,"continued_engagement,habit_maintenance",primary_action_completed >= 1,critical
4,Ecommerce Social Engagers,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
4,Ecommerce Social Engagers,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
4,Ecommerce Social Engagers,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
4,Ecommerce Social Engagers,inactive,any,activation,"first_engagement,value_discovery",primary_action_completed >= 1,medium
5,Ecommerce At-Risk Users,trial,D0,activation,"onboarding_complete,first_exercise",primary_action_completed >= 1,critical
5,Ecommerce At-Risk Users,trial,D1,habit_formation,"daily_exercise,streak_building",engagement_streak >= 2,high
5,Ecommerce At-Risk Users,trial,D2,habit_formation,"daily_exercise,streak_building",engagement_streak >= 3,high
5,Ecommerce At-Risk Users,trial,D3,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
5,Ecommerce At-Risk Users,trial,D4,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
5,Ecommerce At-Risk Users,trial,D5,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
5,Ecommerce At-Risk Users,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
5,Ecommerce At-Risk Users,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
5,Ecommerce At-Risk Users,paid,D8-D14,retention,"continued_engagement,habit_maintenance",primary_action_completed >= 1,critical
5,Ecommerce At-Risk Users,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
5,Ecommerce At-Risk Users,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
5,Ecommerce At-Risk Users,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
5,Ecommerce At-Risk Users,inactive,any,activation,"first_engagement,value_discovery",primary_action_completed >= 1,medium
